wage,educ,exper,age,sex,race,married,union,sector,overtime,economy
13.57,9.0,14.0,28.0,female,hispanic,no,no,other,no,Government
13.75,15.0,12.0,31.0,female,black,no,no,services,no,Services
16.62,14.0,3.0,23.0,female,asian,yes,no,services,no,Healthcare
18.0,11.0,17.0,34.0,male,hispanic,yes,no,services,no,Services
13.88,12.0,11.0,23.0,male,asian,yes,no,services,no,Services
27.66,11.0,17.0,33.0,male,white,no,no,services,no,Education
21.6,19.0,18.0,44.0,female,black,no,yes,other,no,Services
19.81,12.0,7.0,23.0,male,black,no,no,manufacturing,no,Manufacturing
15.46,13.0,9.0,29.0,male,white,no,no,manufacturing,yes,Manufacturing
20.51,14.0,19.0,46.0,male,white,no,no,manufacturing,no,Manufacturing
30.88,18.0,17.0,35.0,male,black,yes,yes,manufacturing,no,Manufacturing
21.67,15.0,25.0,44.0,female,black,yes,no,manufacturing,no,Manufacturing
18.92,14.0,19.0,38.0,male,asian,yes,no,manufacturing,no,Manufacturing
22.28,15.0,14.0,33.0,male,black,yes,no,manufacturing,no,Manufacturing
19.59,13.0,13.0,41.0,female,white,yes,no,services,no,Healthcare
15.46,15.0,14.0,39.0,male,asian,no,no,manufacturing,no,Manufacturing
26.88,16.0,21.0,34.0,male,white,yes,no,manufacturing,no,Manufacturing
25.51,17.0,28.0,51.0,male,hispanic,no,yes,manufacturing,no,Manufacturing
11.12,11.0,9.0,31.0,male,other,yes,no,services,yes,Education
19.99,12.0,17.0,34.0,female,white,yes,yes,manufacturing,no,Manufacturing
23.79,18.0,8.0,37.0,male,hispanic,yes,no,manufacturing,no,Manufacturing
13.03,10.0,19.0,34.0,male,hispanic,yes,yes,services,no,Education
35.13,21.0,12.0,40.0,male,hispanic,yes,no,manufacturing,yes,Manufacturing
13.49,11.0,12.0,29.0,female,hispanic,no,no,other,no,Healthcare
24.14,17.0,19.0,48.0,female,white,no,no,services,yes,Services
35.1,15.0,22.0,43.0,male,white,no,no,services,yes,Services
23.25,12.0,20.0,40.0,female,black,yes,no,services,no,Education
19.86,17.0,14.0,33.0,male,hispanic,yes,no,manufacturing,no,Manufacturing
20.63,15.0,29.0,52.0,female,white,yes,no,services,yes,Services
19.62,15.0,22.0,40.0,female,other,yes,no,other,no,Services
19.74,16.0,22.0,46.0,female,white,yes,no,services,no,Services
30.62,19.0,13.0,46.0,female,white,no,no,services,no,Education
14.9,14.0,0.0,19.0,male,black,yes,no,other,no,Government
26.69,16.0,13.0,29.0,female,black,no,yes,manufacturing,no,Manufacturing
25.03,17.0,19.0,44.0,female,hispanic,no,no,manufacturing,no,Manufacturing
11.69,13.0,7.0,27.0,male,hispanic,yes,no,services,no,Services
25.56,17.0,6.0,29.0,male,white,no,no,manufacturing,no,Manufacturing
28.5,16.0,19.0,42.0,male,hispanic,yes,no,manufacturing,no,Manufacturing
19.38,13.0,16.0,36.0,male,white,yes,no,manufacturing,yes,Manufacturing
24.16,15.0,11.0,32.0,male,white,no,no,manufacturing,no,Manufacturing
16.93,14.0,21.0,40.0,female,hispanic,no,no,other,no,Manufacturing
27.29,17.0,15.0,37.0,male,white,yes,no,services,yes,Services
19.61,13.0,9.0,30.0,male,white,yes,no,manufacturing,no,Manufacturing
25.03,15.0,7.0,30.0,male,white,no,no,services,yes,Healthcare
22.94,17.0,15.0,31.0,female,white,yes,no,services,no,Services
24.24,16.0,18.0,36.0,male,black,yes,no,services,no,Healthcare
26.38,18.0,6.0,28.0,male,white,no,no,manufacturing,no,Manufacturing
27.79,17.0,19.0,37.0,female,white,yes,no,services,no,Education
29.59,17.0,3.0,29.0,female,white,no,no,services,no,Services
19.14,14.0,14.0,28.0,female,white,yes,no,manufacturing,no,Manufacturing
10.8,16.0,14.0,31.0,female,black,yes,no,services,yes,Services
14.92,13.0,10.0,23.0,male,white,no,no,other,no,Services
17.44,15.0,13.0,30.0,male,white,yes,no,services,no,Healthcare
10.0,9.0,16.0,33.0,male,black,no,no,services,yes,Services
27.41,17.0,16.0,37.0,male,hispanic,yes,no,services,no,Healthcare
25.94,16.0,0.0,28.0,female,asian,no,yes,services,no,Services
10.0,10.0,18.0,35.0,female,white,no,no,other,no,Services
22.42,15.0,0.0,21.0,female,other,no,no,services,no,Healthcare
14.06,12.0,17.0,35.0,male,white,yes,no,services,no,Education
14.2,9.0,21.0,31.0,male,white,yes,no,manufacturing,no,Manufacturing
17.58,10.0,21.0,40.0,male,white,no,no,services,no,Services
24.68,15.0,25.0,44.0,female,white,no,no,services,no,Education
26.44,13.0,10.0,23.0,male,white,yes,no,services,no,Healthcare
23.39,16.0,17.0,39.0,male,white,yes,no,services,no,Services
21.72,14.0,9.0,27.0,male,white,no,no,other,no,Government
20.06,11.0,9.0,21.0,female,white,no,no,manufacturing,no,Manufacturing
20.26,14.0,18.0,40.0,female,hispanic,yes,no,services,no,Education
25.78,15.0,10.0,39.0,male,hispanic,no,no,manufacturing,no,Manufacturing
15.94,13.0,22.0,42.0,male,white,no,yes,manufacturing,no,Manufacturing
26.03,15.0,24.0,53.0,female,white,yes,no,services,no,Healthcare
26.96,16.0,10.0,30.0,male,hispanic,no,no,manufacturing,no,Manufacturing
14.82,14.0,23.0,42.0,female,white,yes,no,other,no,Manufacturing
24.72,15.0,16.0,39.0,male,asian,no,no,manufacturing,no,Manufacturing
10.0,8.0,7.0,23.0,male,white,no,no,other,no,Services
15.44,16.0,10.0,36.0,female,black,yes,no,services,yes,Services
24.55,19.0,10.0,34.0,female,black,yes,no,manufacturing,no,Manufacturing
16.04,17.0,11.0,25.0,female,white,no,no,other,no,Healthcare
17.39,16.0,7.0,26.0,male,asian,no,no,services,no,Healthcare
16.49,16.0,14.0,29.0,male,white,yes,no,other,no,Manufacturing
25.72,16.0,7.0,30.0,female,asian,yes,no,services,no,Education
26.44,21.0,19.0,42.0,female,black,no,no,services,no,Services
20.83,18.0,15.0,41.0,male,white,yes,no,other,no,Healthcare
10.0,8.0,24.0,44.0,male,white,no,no,services,no,Healthcare
11.7,15.0,11.0,26.0,female,hispanic,no,no,services,no,Services
22.41,12.0,11.0,32.0,female,white,yes,no,other,yes,Healthcare
20.25,14.0,18.0,48.0,female,hispanic,yes,no,manufacturing,no,Manufacturing
12.84,12.0,20.0,35.0,male,white,yes,no,services,yes,Services
24.92,18.0,8.0,30.0,female,other,yes,no,manufacturing,no,Manufacturing
23.13,15.0,16.0,34.0,female,asian,yes,no,services,no,Healthcare
12.34,13.0,6.0,24.0,male,white,yes,no,other,yes,Manufacturing
26.65,16.0,10.0,24.0,female,white,no,no,services,no,Services
16.53,15.0,25.0,49.0,female,white,no,no,services,no,Services
11.18,8.0,17.0,33.0,female,white,yes,no,other,no,Government
13.68,11.0,24.0,46.0,female,hispanic,no,yes,services,no,Services
17.4,11.0,12.0,27.0,male,white,yes,no,services,no,Services
19.18,15.0,11.0,31.0,female,white,yes,no,services,no,Education
18.85,14.0,15.0,37.0,male,white,yes,no,services,no,Services
30.27,15.0,24.0,44.0,male,white,yes,no,services,no,Services
18.95,13.0,25.0,40.0,male,hispanic,yes,no,manufacturing,yes,Manufacturing
18.04,16.0,20.0,41.0,male,white,yes,yes,services,no,Healthcare
21.59,18.0,9.0,34.0,male,asian,yes,no,manufacturing,no,Manufacturing
19.25,16.0,10.0,29.0,male,other,yes,no,services,no,Services
25.04,13.0,21.0,45.0,female,white,no,no,services,no,Healthcare
21.36,14.0,18.0,39.0,male,black,no,yes,manufacturing,no,Manufacturing
19.28,16.0,25.0,45.0,female,white,no,no,other,no,Government
19.31,14.0,19.0,46.0,female,white,yes,yes,services,no,Services
29.01,16.0,16.0,43.0,male,white,no,no,manufacturing,yes,Manufacturing
27.22,16.0,10.0,33.0,male,white,yes,no,other,no,Manufacturing
25.04,19.0,9.0,42.0,female,hispanic,yes,no,services,no,Services
34.86,20.0,21.0,47.0,male,hispanic,yes,no,manufacturing,no,Manufacturing
12.69,11.0,13.0,36.0,female,black,no,no,services,no,Services
21.28,12.0,10.0,31.0,male,black,yes,no,manufacturing,no,Manufacturing
33.03,19.0,2.0,18.0,female,white,no,no,manufacturing,no,Manufacturing
13.99,12.0,0.0,18.0,male,white,yes,no,services,yes,Education
23.47,18.0,12.0,33.0,female,black,no,no,services,no,Healthcare
29.17,19.0,24.0,45.0,male,white,yes,no,manufacturing,no,Manufacturing
10.93,15.0,24.0,40.0,male,white,yes,no,services,yes,Education
22.6,14.0,0.0,18.0,male,white,yes,no,services,no,Healthcare
23.98,16.0,29.0,53.0,female,white,yes,no,services,no,Services
32.74,16.0,15.0,40.0,female,white,no,no,services,yes,Services
26.11,14.0,18.0,35.0,male,white,yes,no,other,yes,Services
15.1,14.0,2.0,22.0,male,white,no,no,other,yes,Manufacturing
13.41,11.0,0.0,19.0,male,white,yes,no,manufacturing,no,Manufacturing
19.79,12.0,16.0,38.0,female,hispanic,no,no,services,no,Education
29.07,15.0,17.0,32.0,female,white,yes,no,services,yes,Services
14.73,12.0,8.0,20.0,male,other,yes,no,manufacturing,no,Manufacturing
15.74,13.0,8.0,28.0,male,white,yes,yes,other,no,Government
22.03,15.0,27.0,49.0,male,asian,yes,yes,services,no,Healthcare
18.48,16.0,19.0,44.0,male,white,yes,no,services,no,Education
30.66,17.0,17.0,40.0,female,white,yes,no,services,no,Services
24.88,13.0,18.0,39.0,male,black,yes,yes,manufacturing,no,Manufacturing
20.07,14.0,13.0,36.0,male,hispanic,yes,no,manufacturing,yes,Manufacturing
27.65,17.0,13.0,42.0,female,black,no,no,services,no,Education
14.55,13.0,24.0,45.0,female,black,no,no,other,no,Government
21.72,14.0,12.0,32.0,male,white,no,no,other,no,Healthcare
25.27,14.0,19.0,35.0,male,white,no,no,services,yes,Services
16.53,15.0,21.0,43.0,female,other,no,no,manufacturing,no,Manufacturing
25.04,15.0,20.0,42.0,male,white,yes,yes,services,no,Services
10.0,13.0,9.0,31.0,female,black,no,yes,manufacturing,no,Manufacturing
25.12,16.0,11.0,37.0,male,black,yes,no,other,no,Healthcare
10.0,8.0,25.0,40.0,male,white,yes,no,other,no,Manufacturing
16.54,14.0,11.0,34.0,male,white,no,no,services,no,Healthcare
19.96,12.0,27.0,46.0,female,black,yes,no,services,no,Education
20.69,19.0,16.0,47.0,male,asian,yes,no,other,no,Services
30.22,19.0,6.0,34.0,male,white,yes,no,other,no,Healthcare
25.17,17.0,19.0,35.0,female,hispanic,no,no,other,no,Government
26.82,19.0,6.0,40.0,male,white,no,no,services,no,Services
35.54,18.0,10.0,36.0,male,asian,no,no,manufacturing,no,Manufacturing
22.81,16.0,13.0,39.0,female,white,yes,yes,manufacturing,no,Manufacturing
30.99,17.0,34.0,62.0,male,asian,no,no,services,no,Healthcare
23.76,16.0,0.0,22.0,female,white,no,no,services,no,Services
10.87,10.0,13.0,29.0,male,white,yes,no,manufacturing,yes,Manufacturing
16.31,19.0,4.0,27.0,male,hispanic,yes,no,services,no,Services
24.33,19.0,13.0,44.0,female,white,no,no,manufacturing,no,Manufacturing
17.22,14.0,21.0,39.0,male,white,no,yes,manufacturing,yes,Manufacturing
12.78,14.0,10.0,36.0,male,hispanic,no,no,manufacturing,no,Manufacturing
26.61,12.0,22.0,39.0,male,white,yes,no,services,no,Education
19.0,16.0,3.0,30.0,female,hispanic,no,yes,services,no,Education
19.19,13.0,14.0,32.0,male,white,no,no,services,yes,Services
14.53,10.0,7.0,19.0,male,white,no,no,services,yes,Healthcare
21.17,12.0,16.0,33.0,female,white,no,yes,services,no,Services
15.89,12.0,0.0,22.0,female,white,no,no,other,no,Government
16.02,10.0,14.0,30.0,female,white,yes,no,manufacturing,no,Manufacturing
15.72,14.0,5.0,25.0,male,white,no,no,services,no,Services
11.07,13.0,7.0,25.0,female,white,no,no,services,no,Services
22.41,15.0,5.0,28.0,male,asian,yes,no,services,no,Services
20.71,15.0,6.0,26.0,female,asian,no,yes,services,no,Healthcare
28.38,13.0,13.0,31.0,female,white,no,no,services,no,Healthcare
24.82,14.0,15.0,31.0,female,white,no,no,services,no,Services
26.28,15.0,24.0,46.0,female,hispanic,yes,no,services,yes,Services
16.88,12.0,13.0,34.0,female,white,no,no,other,yes,Services
10.32,16.0,9.0,31.0,female,asian,yes,yes,manufacturing,no,Manufacturing
12.48,13.0,17.0,35.0,male,white,yes,no,other,no,Manufacturing
20.96,14.0,16.0,37.0,female,black,no,no,services,yes,Healthcare
15.01,13.0,0.0,18.0,male,hispanic,yes,yes,services,no,Services
23.82,19.0,13.0,43.0,male,white,yes,no,services,yes,Healthcare
23.51,13.0,4.0,20.0,male,white,no,no,services,no,Services
19.98,13.0,34.0,47.0,female,asian,no,no,services,no,Services
20.76,17.0,19.0,36.0,male,white,no,no,other,no,Manufacturing
18.94,15.0,10.0,37.0,female,white,yes,no,services,yes,Services
28.06,17.0,12.0,35.0,female,white,yes,no,services,no,Healthcare
28.18,17.0,5.0,28.0,male,white,no,no,services,no,Services
14.43,13.0,17.0,35.0,female,white,no,no,services,no,Healthcare
12.36,14.0,11.0,27.0,male,white,yes,no,services,no,Services
22.91,13.0,22.0,40.0,male,white,yes,yes,services,no,Services
14.07,11.0,10.0,25.0,female,hispanic,no,no,other,no,Manufacturing
21.59,16.0,21.0,45.0,female,hispanic,yes,no,services,no,Healthcare
10.17,8.0,30.0,40.0,male,asian,no,no,manufacturing,no,Manufacturing
10.0,9.0,19.0,30.0,female,asian,yes,no,manufacturing,no,Manufacturing
10.0,11.0,16.0,29.0,female,hispanic,yes,no,services,no,Healthcare
21.16,13.0,18.0,34.0,male,asian,no,yes,other,no,Manufacturing
25.2,17.0,17.0,38.0,female,hispanic,no,no,manufacturing,no,Manufacturing
25.68,15.0,24.0,48.0,male,white,yes,no,manufacturing,no,Manufacturing
19.46,15.0,8.0,32.0,female,asian,yes,no,services,no,Services
17.23,15.0,26.0,50.0,female,white,yes,yes,services,yes,Healthcare
10.23,12.0,19.0,35.0,female,white,yes,no,services,yes,Education
22.34,13.0,18.0,38.0,female,white,yes,no,manufacturing,no,Manufacturing
12.37,12.0,8.0,28.0,female,white,yes,no,services,no,Healthcare
22.44,14.0,3.0,24.0,female,asian,no,no,services,no,Services
14.36,12.0,2.0,19.0,male,hispanic,yes,no,manufacturing,no,Manufacturing
27.13,16.0,3.0,28.0,male,hispanic,no,no,services,no,Healthcare
21.66,17.0,26.0,47.0,female,white,no,no,services,no,Healthcare
15.27,16.0,15.0,36.0,female,asian,yes,yes,services,no,Services
21.02,15.0,8.0,36.0,male,white,yes,no,services,no,Education
12.13,12.0,7.0,20.0,female,white,no,no,services,yes,Services
34.77,22.0,17.0,35.0,female,white,yes,no,manufacturing,no,Manufacturing
26.75,15.0,10.0,30.0,male,white,no,no,manufacturing,yes,Manufacturing
25.31,16.0,7.0,31.0,male,asian,no,no,services,no,Healthcare
10.0,12.0,4.0,18.0,female,hispanic,yes,no,services,no,Services
10.32,12.0,11.0,30.0,male,black,yes,no,manufacturing,no,Manufacturing
23.21,17.0,7.0,35.0,female,black,yes,no,services,no,Services
27.12,14.0,16.0,34.0,female,other,yes,no,manufacturing,no,Manufacturing
23.98,14.0,12.0,27.0,male,asian,yes,no,other,yes,Healthcare
27.4,14.0,0.0,26.0,male,white,yes,no,services,no,Healthcare
20.32,13.0,6.0,22.0,male,white,no,no,services,no,Healthcare
26.86,18.0,1.0,27.0,female,white,yes,yes,services,no,Services
16.31,12.0,13.0,36.0,female,white,yes,no,services,yes,Services
22.99,14.0,8.0,28.0,female,white,no,no,other,no,Government
19.05,17.0,2.0,21.0,female,white,yes,no,services,no,Services
11.27,12.0,14.0,30.0,male,white,yes,no,other,yes,Services
15.33,13.0,8.0,24.0,male,hispanic,no,no,other,no,Manufacturing
18.08,15.0,28.0,50.0,male,white,yes,yes,other,no,Healthcare
23.98,15.0,31.0,51.0,male,white,yes,no,services,no,Services
16.9,17.0,4.0,34.0,female,hispanic,no,no,other,no,Government
17.65,17.0,26.0,49.0,female,hispanic,yes,no,other,no,Services
28.85,14.0,9.0,32.0,female,white,yes,no,other,no,Healthcare
22.99,18.0,9.0,34.0,male,white,no,no,services,no,Services
17.15,11.0,11.0,28.0,male,white,no,no,services,no,Education
12.65,15.0,10.0,31.0,female,hispanic,no,no,services,no,Services
12.14,14.0,5.0,26.0,female,black,no,no,services,yes,Services
16.97,15.0,22.0,42.0,male,black,no,no,services,no,Services
13.71,16.0,2.0,26.0,female,hispanic,yes,no,other,no,Healthcare
21.62,14.0,16.0,33.0,male,white,yes,no,other,no,Services
10.0,14.0,7.0,20.0,female,other,no,no,other,yes,Services
17.26,15.0,23.0,47.0,male,white,yes,no,manufacturing,no,Manufacturing
16.3,13.0,18.0,38.0,male,black,yes,no,services,yes,Healthcare
17.5,15.0,5.0,26.0,male,white,yes,no,manufacturing,no,Manufacturing
18.87,15.0,0.0,18.0,female,hispanic,yes,no,services,no,Services
17.43,15.0,0.0,21.0,male,white,yes,no,other,no,Government
25.78,13.0,24.0,48.0,male,white,yes,no,services,no,Services
20.02,13.0,15.0,31.0,female,white,yes,no,services,no,Services
12.73,14.0,15.0,32.0,male,black,yes,no,services,no,Education
28.11,18.0,22.0,51.0,female,white,no,no,services,yes,Services
23.19,14.0,9.0,24.0,male,asian,yes,no,manufacturing,no,Manufacturing
20.79,15.0,22.0,38.0,male,white,no,no,services,no,Education
28.97,20.0,11.0,36.0,female,white,yes,no,services,no,Services
21.91,16.0,24.0,46.0,male,hispanic,no,no,manufacturing,yes,Manufacturing
20.59,13.0,8.0,25.0,male,white,no,no,services,no,Healthcare
25.91,14.0,24.0,40.0,male,white,no,no,other,no,Manufacturing
34.3,16.0,12.0,27.0,male,white,yes,no,manufacturing,yes,Manufacturing
18.12,14.0,2.0,24.0,male,hispanic,no,no,services,yes,Services
25.62,19.0,17.0,39.0,male,white,no,no,other,no,Healthcare
19.34,16.0,24.0,39.0,female,white,yes,no,services,yes,Services
20.43,18.0,27.0,55.0,female,white,yes,no,services,no,Services
13.31,15.0,20.0,33.0,male,black,yes,no,services,no,Services
10.0,8.0,22.0,31.0,male,white,no,no,other,no,Services
10.0,12.0,4.0,28.0,male,white,no,no,manufacturing,no,Manufacturing
21.47,14.0,11.0,28.0,male,white,no,no,manufacturing,yes,Manufacturing
26.32,20.0,21.0,44.0,female,asian,yes,no,services,no,Healthcare
21.21,16.0,2.0,23.0,female,white,no,no,services,no,Education
24.21,19.0,18.0,38.0,female,white,no,no,services,no,Services
17.82,15.0,11.0,30.0,male,white,no,no,other,yes,Healthcare
15.87,15.0,9.0,30.0,male,asian,no,no,services,yes,Services
14.46,16.0,10.0,33.0,female,other,no,no,services,no,Services
14.98,15.0,6.0,25.0,female,asian,yes,no,other,no,Services
11.94,12.0,9.0,27.0,female,hispanic,no,no,services,no,Services
15.77,18.0,26.0,50.0,male,black,no,no,manufacturing,no,Manufacturing
10.0,11.0,12.0,30.0,female,black,yes,no,other,no,Manufacturing
17.65,12.0,13.0,30.0,female,white,yes,no,services,no,Services
26.11,20.0,10.0,33.0,female,hispanic,no,no,services,no,Services
21.67,15.0,0.0,21.0,male,black,yes,yes,services,no,Education
17.2,16.0,12.0,38.0,female,asian,yes,no,services,no,Education
16.61,13.0,17.0,36.0,male,white,yes,no,other,no,Manufacturing
20.55,12.0,11.0,27.0,male,black,no,no,services,no,Education
11.63,13.0,17.0,36.0,female,white,yes,no,other,no,Healthcare
24.49,17.0,17.0,48.0,female,white,no,no,services,no,Education
29.4,14.0,19.0,40.0,female,other,no,yes,manufacturing,no,Manufacturing
25.74,18.0,24.0,50.0,female,white,no,no,services,no,Services
17.68,17.0,17.0,38.0,male,asian,yes,no,services,yes,Healthcare
19.05,13.0,19.0,35.0,female,white,yes,no,services,yes,Services
25.44,16.0,12.0,32.0,female,asian,no,no,services,yes,Services
17.02,14.0,24.0,42.0,female,white,no,no,services,no,Services
22.22,14.0,17.0,41.0,female,white,yes,yes,manufacturing,no,Manufacturing
18.28,18.0,7.0,32.0,female,asian,yes,no,services,yes,Services
12.16,12.0,26.0,47.0,male,hispanic,no,no,services,yes,Services
23.47,8.0,14.0,27.0,female,white,yes,no,services,no,Services
16.25,16.0,7.0,38.0,female,white,no,no,services,no,Services
23.51,15.0,9.0,33.0,male,asian,no,no,services,no,Education
10.0,13.0,8.0,20.0,female,black,yes,no,other,no,Healthcare
15.79,13.0,18.0,33.0,female,black,yes,no,manufacturing,no,Manufacturing
23.57,17.0,11.0,40.0,male,white,no,no,services,no,Services
16.62,17.0,0.0,19.0,female,white,no,no,services,no,Education
33.4,13.0,10.0,29.0,female,white,yes,no,services,yes,Education
10.39,13.0,19.0,44.0,female,asian,no,no,services,no,Services
23.26,18.0,18.0,39.0,female,black,no,no,services,no,Education
25.19,16.0,14.0,31.0,female,white,yes,no,other,no,Manufacturing
13.47,14.0,6.0,27.0,female,asian,yes,yes,services,yes,Services
21.65,17.0,17.0,41.0,female,black,yes,no,services,no,Services
18.38,14.0,8.0,27.0,female,other,no,no,other,no,Healthcare
10.0,13.0,18.0,35.0,female,other,no,no,services,no,Healthcare
27.22,17.0,14.0,39.0,female,white,no,no,manufacturing,no,Manufacturing
29.29,15.0,1.0,18.0,female,black,no,no,services,no,Healthcare
17.54,11.0,8.0,18.0,female,asian,no,no,manufacturing,no,Manufacturing
10.0,11.0,17.0,32.0,male,white,yes,no,other,no,Healthcare
18.69,16.0,7.0,30.0,male,white,yes,no,other,no,Government
17.81,11.0,9.0,24.0,male,white,yes,no,services,no,Services
20.47,17.0,2.0,18.0,female,white,no,no,services,no,Education
23.37,17.0,0.0,22.0,female,white,yes,no,other,no,Healthcare
22.72,16.0,10.0,39.0,male,white,no,no,services,no,Education
19.69,14.0,7.0,26.0,female,white,yes,no,services,yes,Services
13.9,15.0,3.0,25.0,male,black,no,no,services,no,Healthcare
13.46,9.0,14.0,23.0,female,white,no,no,manufacturing,yes,Manufacturing
28.19,14.0,6.0,26.0,male,white,yes,no,services,no,Education
20.02,15.0,16.0,34.0,male,hispanic,no,yes,manufacturing,no,Manufacturing
30.84,19.0,20.0,47.0,female,white,no,no,services,yes,Services
23.22,18.0,11.0,36.0,female,white,yes,no,services,no,Services
15.64,14.0,15.0,37.0,male,white,no,no,services,no,Services
31.85,17.0,11.0,35.0,female,hispanic,no,no,other,yes,Manufacturing
26.13,16.0,33.0,59.0,male,white,yes,no,manufacturing,no,Manufacturing
11.68,16.0,8.0,25.0,female,white,yes,yes,services,no,Education
12.34,12.0,13.0,27.0,male,white,no,no,services,no,Services
13.66,14.0,24.0,37.0,male,white,no,no,other,no,Manufacturing
35.27,19.0,26.0,50.0,female,black,no,no,other,no,Services
14.6,14.0,20.0,45.0,female,white,no,yes,manufacturing,no,Manufacturing
19.82,14.0,9.0,18.0,female,white,no,no,other,no,Government
12.34,13.0,0.0,21.0,female,other,no,yes,services,no,Services
27.92,14.0,25.0,44.0,male,white,yes,no,services,yes,Education
22.62,15.0,21.0,43.0,female,asian,yes,no,other,no,Healthcare
22.91,16.0,11.0,37.0,male,black,no,no,services,no,Services
18.9,12.0,27.0,47.0,male,asian,no,no,services,no,Services
12.75,11.0,11.0,25.0,male,black,no,no,services,no,Services
24.3,18.0,26.0,49.0,male,asian,yes,no,services,no,Healthcare
13.4,11.0,28.0,41.0,female,white,no,no,manufacturing,yes,Manufacturing
12.5,11.0,16.0,35.0,female,white,yes,no,manufacturing,no,Manufacturing
25.67,18.0,21.0,41.0,female,asian,yes,no,services,no,Services
23.98,12.0,21.0,39.0,female,asian,no,no,services,no,Education
25.01,16.0,0.0,20.0,female,black,yes,yes,services,yes,Services
23.56,16.0,18.0,39.0,male,white,yes,no,manufacturing,no,Manufacturing
18.87,16.0,14.0,43.0,male,white,yes,no,manufacturing,no,Manufacturing
23.74,20.0,20.0,48.0,male,white,yes,no,services,no,Services
22.05,21.0,9.0,37.0,female,hispanic,no,yes,services,no,Healthcare
24.76,18.0,14.0,39.0,male,other,no,no,manufacturing,no,Manufacturing
12.75,12.0,17.0,27.0,female,white,yes,no,other,no,Healthcare
25.52,17.0,11.0,29.0,female,hispanic,yes,no,services,no,Education
20.35,11.0,23.0,39.0,female,asian,no,no,manufacturing,no,Manufacturing
15.08,14.0,14.0,33.0,male,white,yes,no,manufacturing,no,Manufacturing
23.7,13.0,22.0,37.0,male,asian,no,no,manufacturing,yes,Manufacturing
27.95,20.0,16.0,41.0,male,black,no,no,services,no,Services
18.81,11.0,10.0,33.0,male,white,no,no,services,no,Healthcare
10.0,12.0,20.0,34.0,female,hispanic,no,no,services,no,Services
13.41,12.0,12.0,27.0,female,white,yes,no,services,no,Healthcare
15.48,13.0,4.0,24.0,female,other,no,no,services,no,Services
26.98,18.0,6.0,27.0,female,white,no,no,services,no,Services
13.84,16.0,20.0,35.0,male,other,yes,no,services,no,Healthcare
23.15,16.0,13.0,28.0,male,white,yes,no,services,yes,Healthcare
13.71,14.0,0.0,23.0,female,white,yes,no,services,yes,Healthcare
18.9,14.0,19.0,34.0,male,black,no,no,services,no,Services
25.3,16.0,32.0,59.0,female,black,no,no,services,yes,Services
11.38,11.0,16.0,36.0,male,white,yes,yes,other,no,Manufacturing
22.93,11.0,15.0,25.0,male,hispanic,no,yes,manufacturing,no,Manufacturing
18.13,22.0,8.0,42.0,male,white,no,no,services,no,Education
17.92,14.0,2.0,25.0,female,white,no,no,other,no,Services
15.93,13.0,1.0,20.0,male,black,yes,no,services,no,Education
25.33,17.0,12.0,36.0,male,white,no,no,manufacturing,no,Manufacturing
10.29,14.0,14.0,41.0,male,hispanic,no,no,manufacturing,no,Manufacturing
14.14,15.0,14.0,34.0,male,black,yes,yes,manufacturing,no,Manufacturing
10.0,14.0,12.0,33.0,male,hispanic,yes,no,other,no,Manufacturing
23.42,17.0,4.0,32.0,female,black,no,no,other,yes,Services
14.54,14.0,23.0,44.0,male,white,yes,no,services,no,Healthcare
19.03,17.0,19.0,35.0,female,white,no,yes,other,no,Services
27.63,15.0,18.0,37.0,male,white,no,no,manufacturing,no,Manufacturing
16.97,13.0,16.0,36.0,male,asian,no,no,other,no,Government
18.84,12.0,12.0,29.0,female,white,no,no,manufacturing,no,Manufacturing
22.39,14.0,34.0,53.0,male,hispanic,yes,no,services,no,Education
16.03,11.0,3.0,18.0,male,white,no,yes,services,no,Services
11.47,13.0,18.0,27.0,female,white,yes,no,other,no,Healthcare
19.0,10.0,20.0,40.0,male,white,no,yes,services,no,Healthcare
27.6,13.0,15.0,38.0,female,hispanic,yes,no,other,no,Manufacturing
14.5,16.0,19.0,37.0,female,white,yes,no,manufacturing,no,Manufacturing
10.0,12.0,16.0,32.0,female,other,yes,no,manufacturing,no,Manufacturing
31.66,17.0,29.0,56.0,female,white,no,no,services,yes,Education
26.02,14.0,6.0,35.0,male,hispanic,yes,yes,other,no,Healthcare
10.64,16.0,0.0,26.0,female,black,no,no,services,yes,Services
22.18,15.0,6.0,25.0,female,black,no,no,services,no,Healthcare
23.16,18.0,7.0,27.0,male,black,no,no,manufacturing,no,Manufacturing
14.56,17.0,10.0,39.0,male,white,yes,yes,other,yes,Manufacturing
24.38,17.0,16.0,43.0,female,black,no,no,other,no,Government
18.19,12.0,31.0,46.0,male,black,no,no,services,no,Services
15.99,13.0,28.0,44.0,female,black,no,no,services,no,Services
12.9,12.0,9.0,40.0,female,black,no,no,services,no,Healthcare
13.15,15.0,16.0,39.0,male,asian,no,no,other,no,Manufacturing
18.62,14.0,6.0,31.0,male,white,no,no,services,yes,Education
19.9,17.0,1.0,23.0,male,white,yes,no,services,no,Services
30.51,18.0,12.0,32.0,female,black,no,no,other,no,Healthcare
19.62,18.0,11.0,33.0,male,other,yes,no,manufacturing,no,Manufacturing
13.11,12.0,22.0,44.0,male,white,no,no,manufacturing,no,Manufacturing
