wage,educ,exper,age,sex,race,married,union,sector,overtime
29.59,17.0,3.0,29.0,male,white,no,no,services,no
19.14,14.0,14.0,28.0,male,white,yes,no,manufacturing,no
10.8,16.0,14.0,31.0,male,black,yes,no,services,yes
14.92,13.0,10.0,23.0,male,white,no,no,services,no
17.44,15.0,13.0,30.0,female,white,yes,no,services,no
10.0,9.0,16.0,33.0,female,black,no,no,healthcare,yes
27.41,17.0,16.0,37.0,male,hispanic,yes,no,education,no
25.94,16.0,0.0,28.0,female,asian,no,yes,healthcare,no
10.0,10.0,18.0,35.0,male,white,no,no,services,no
22.42,15.0,0.0,21.0,female,other,no,no,education,no
14.06,12.0,17.0,35.0,female,white,yes,no,healthcare,no
14.2,9.0,21.0,31.0,female,white,yes,no,manufacturing,no
17.58,10.0,21.0,40.0,female,white,no,no,services,no
24.68,15.0,25.0,44.0,male,white,no,no,education,no
26.44,13.0,10.0,23.0,male,white,yes,no,services,no
23.39,16.0,17.0,39.0,female,white,yes,no,healthcare,no
21.72,14.0,9.0,27.0,male,white,no,no,government,no
20.06,11.0,9.0,21.0,female,white,no,no,manufacturing,no
20.26,14.0,18.0,40.0,female,hispanic,yes,no,services,no
25.78,15.0,10.0,39.0,male,hispanic,no,no,manufacturing,no
15.94,13.0,22.0,42.0,male,white,no,yes,manufacturing,no
26.03,15.0,24.0,53.0,female,white,yes,no,services,no
26.96,16.0,10.0,30.0,male,hispanic,no,no,manufacturing,no
14.82,14.0,23.0,42.0,female,white,yes,no,manufacturing,no
24.72,15.0,16.0,39.0,male,asian,no,no,manufacturing,no
10.0,8.0,7.0,23.0,female,white,no,no,healthcare,no
15.44,16.0,10.0,36.0,male,black,yes,no,education,yes
24.55,19.0,10.0,34.0,male,black,yes,no,manufacturing,no
16.04,17.0,11.0,25.0,female,white,no,no,services,no
17.39,16.0,7.0,26.0,male,asian,no,no,services,no
16.49,16.0,14.0,29.0,female,white,yes,no,government,no
25.72,16.0,7.0,30.0,female,asian,yes,no,services,no
26.44,21.0,19.0,42.0,male,black,no,no,healthcare,no
20.83,18.0,15.0,41.0,female,white,yes,no,healthcare,no
10.0,8.0,24.0,44.0,male,white,no,no,education,no
11.7,15.0,11.0,26.0,female,hispanic,no,no,services,no
22.41,12.0,11.0,32.0,male,white,yes,no,manufacturing,yes
20.25,14.0,18.0,48.0,male,hispanic,yes,no,manufacturing,no
12.84,12.0,20.0,35.0,male,white,yes,no,education,yes
24.92,18.0,8.0,30.0,female,other,yes,no,manufacturing,no
23.13,15.0,16.0,34.0,female,asian,yes,no,education,no
12.34,13.0,6.0,24.0,female,white,yes,no,healthcare,yes
26.65,16.0,10.0,24.0,female,white,no,no,healthcare,no
16.53,15.0,25.0,49.0,female,white,no,no,healthcare,no
11.18,8.0,17.0,33.0,female,white,yes,no,healthcare,no
13.68,11.0,24.0,46.0,male,hispanic,no,yes,services,no
17.4,11.0,12.0,27.0,male,white,yes,no,healthcare,no
19.18,15.0,11.0,31.0,female,white,yes,no,healthcare,no
18.85,14.0,15.0,37.0,female,white,yes,no,healthcare,no
30.27,15.0,24.0,44.0,female,white,yes,no,services,no
18.95,13.0,25.0,40.0,male,hispanic,yes,no,manufacturing,yes
18.04,16.0,20.0,41.0,female,white,yes,yes,services,no
21.59,18.0,9.0,34.0,male,asian,yes,no,manufacturing,no
19.25,16.0,10.0,29.0,male,other,yes,no,education,no
25.04,13.0,21.0,45.0,male,white,no,no,services,no
21.36,14.0,18.0,39.0,female,black,no,yes,manufacturing,no
19.28,16.0,25.0,45.0,female,white,no,no,services,no
19.31,14.0,19.0,46.0,male,white,yes,yes,education,no
29.01,16.0,16.0,43.0,female,white,no,no,manufacturing,yes
27.22,16.0,10.0,33.0,female,white,yes,no,healthcare,no
25.04,19.0,9.0,42.0,male,hispanic,yes,no,services,no
34.86,20.0,21.0,47.0,male,hispanic,yes,no,manufacturing,no
12.69,11.0,13.0,36.0,female,black,no,no,services,no
21.28,12.0,10.0,31.0,male,black,yes,no,manufacturing,no
33.03,19.0,2.0,18.0,male,white,no,no,manufacturing,no
13.99,12.0,0.0,18.0,female,white,yes,no,services,yes
23.47,18.0,12.0,33.0,female,black,no,no,education,no
29.17,19.0,24.0,45.0,male,white,yes,no,manufacturing,no
10.93,15.0,24.0,40.0,male,white,yes,no,services,yes
22.6,14.0,0.0,18.0,male,white,yes,no,services,no
23.98,16.0,29.0,53.0,female,white,yes,no,services,no
32.74,16.0,15.0,40.0,female,white,no,no,healthcare,yes
26.11,14.0,18.0,35.0,male,white,yes,no,government,yes
15.1,14.0,2.0,22.0,male,white,no,no,government,yes
13.41,11.0,0.0,19.0,female,white,yes,no,manufacturing,no
19.79,12.0,16.0,38.0,female,hispanic,no,no,services,no
29.07,15.0,17.0,32.0,male,white,yes,no,services,yes
14.73,12.0,8.0,20.0,female,other,yes,no,manufacturing,no
15.74,13.0,8.0,28.0,male,white,yes,yes,government,no
22.03,15.0,27.0,49.0,male,asian,yes,yes,services,no
18.48,16.0,19.0,44.0,male,white,yes,no,services,no
30.66,17.0,17.0,40.0,male,white,yes,no,healthcare,no
24.88,13.0,18.0,39.0,female,black,yes,yes,manufacturing,no
20.07,14.0,13.0,36.0,male,hispanic,yes,no,manufacturing,yes
27.65,17.0,13.0,42.0,female,black,no,no,services,no
14.55,13.0,24.0,45.0,male,black,no,no,services,no
21.72,14.0,12.0,32.0,female,white,no,no,services,no
25.27,14.0,19.0,35.0,female,white,no,no,services,yes
16.53,15.0,21.0,43.0,female,other,no,no,manufacturing,no
25.04,15.0,20.0,42.0,female,white,yes,yes,services,no
10.0,13.0,9.0,31.0,male,black,no,yes,manufacturing,no
25.12,16.0,11.0,37.0,female,black,yes,no,government,no
10.0,8.0,25.0,40.0,female,white,yes,no,government,no
16.54,14.0,11.0,34.0,male,white,no,no,services,no
19.96,12.0,27.0,46.0,female,black,yes,no,services,no
20.69,19.0,16.0,47.0,male,asian,yes,no,government,no
30.22,19.0,6.0,34.0,male,white,yes,no,manufacturing,no
25.17,17.0,19.0,35.0,male,hispanic,no,no,healthcare,no
26.82,19.0,6.0,40.0,female,white,no,no,healthcare,no
35.54,18.0,10.0,36.0,male,asian,no,no,manufacturing,no
22.81,16.0,13.0,39.0,male,white,yes,yes,manufacturing,no
30.99,17.0,34.0,62.0,male,asian,no,no,healthcare,no
23.76,16.0,0.0,22.0,female,white,no,no,services,no
10.87,10.0,13.0,29.0,female,white,yes,no,manufacturing,yes
16.31,19.0,4.0,27.0,male,hispanic,yes,no,services,no
24.33,19.0,13.0,44.0,female,white,no,no,manufacturing,no
17.22,14.0,21.0,39.0,female,white,no,yes,manufacturing,yes
12.78,14.0,10.0,36.0,female,hispanic,no,no,manufacturing,no
26.61,12.0,22.0,39.0,female,white,yes,no,healthcare,no
19.0,16.0,3.0,30.0,male,hispanic,no,yes,education,no
19.19,13.0,14.0,32.0,female,white,no,no,services,yes
14.53,10.0,7.0,19.0,female,white,no,no,healthcare,yes
21.17,12.0,16.0,33.0,male,white,no,yes,services,no
15.89,12.0,0.0,22.0,female,white,no,no,government,no
16.02,10.0,14.0,30.0,male,white,yes,no,manufacturing,no
15.72,14.0,5.0,25.0,female,white,no,no,education,no
11.07,13.0,7.0,25.0,male,white,no,no,services,no
22.41,15.0,5.0,28.0,male,asian,yes,no,services,no
20.71,15.0,6.0,26.0,female,asian,no,yes,services,no
28.38,13.0,13.0,31.0,male,white,no,no,services,no
24.82,14.0,15.0,31.0,female,white,no,no,services,no
26.28,15.0,24.0,46.0,female,hispanic,yes,no,healthcare,yes
16.88,12.0,13.0,34.0,female,white,no,no,services,yes
10.32,16.0,9.0,31.0,male,asian,yes,yes,manufacturing,no
12.48,13.0,17.0,35.0,female,white,yes,no,healthcare,no
20.96,14.0,16.0,37.0,female,black,no,no,education,yes
15.01,13.0,0.0,18.0,male,hispanic,yes,yes,healthcare,no
23.82,19.0,13.0,43.0,male,white,yes,no,healthcare,yes
23.51,13.0,4.0,20.0,male,white,no,no,services,no
19.98,13.0,34.0,47.0,female,asian,no,no,services,no
20.76,17.0,19.0,36.0,male,white,no,no,services,no
18.94,15.0,10.0,37.0,male,white,yes,no,services,yes
28.06,17.0,12.0,35.0,female,white,yes,no,services,no
28.18,17.0,5.0,28.0,female,white,no,no,education,no
14.43,13.0,17.0,35.0,female,white,no,no,healthcare,no
12.36,14.0,11.0,27.0,female,white,yes,no,education,no
22.91,13.0,22.0,40.0,female,white,yes,yes,education,no
14.07,11.0,10.0,25.0,male,hispanic,no,no,services,no
21.59,16.0,21.0,45.0,female,hispanic,yes,no,services,no
10.17,8.0,30.0,40.0,male,asian,no,no,manufacturing,no
10.0,9.0,19.0,30.0,male,asian,yes,no,manufacturing,no
10.0,11.0,16.0,29.0,male,hispanic,yes,no,services,no
21.16,13.0,18.0,34.0,male,asian,no,yes,healthcare,no
25.2,17.0,17.0,38.0,female,hispanic,no,no,manufacturing,no
25.68,15.0,24.0,48.0,female,white,yes,no,manufacturing,no
19.46,15.0,8.0,32.0,female,asian,yes,no,services,no
17.23,15.0,26.0,50.0,female,white,yes,yes,healthcare,yes
10.23,12.0,19.0,35.0,male,white,yes,no,healthcare,yes
22.34,13.0,18.0,38.0,male,white,yes,no,manufacturing,no
12.37,12.0,8.0,28.0,male,white,yes,no,healthcare,no
22.44,14.0,3.0,24.0,male,asian,no,no,services,no
14.36,12.0,2.0,19.0,male,hispanic,yes,no,manufacturing,no
27.13,16.0,3.0,28.0,male,hispanic,no,no,healthcare,no
21.66,17.0,26.0,47.0,female,white,no,no,services,no
15.27,16.0,15.0,36.0,male,asian,yes,yes,services,no
21.02,15.0,8.0,36.0,female,white,yes,no,services,no
12.13,12.0,7.0,20.0,female,white,no,no,healthcare,yes
34.77,22.0,17.0,35.0,male,white,yes,no,manufacturing,no
26.75,15.0,10.0,30.0,male,white,no,no,manufacturing,yes
25.31,16.0,7.0,31.0,male,asian,no,no,healthcare,no
10.0,12.0,4.0,18.0,female,hispanic,yes,no,services,no
10.32,12.0,11.0,30.0,male,black,yes,no,manufacturing,no
23.21,17.0,7.0,35.0,female,black,yes,no,services,no
27.12,14.0,16.0,34.0,male,other,yes,no,manufacturing,no
23.98,14.0,12.0,27.0,male,asian,yes,no,government,yes
27.4,14.0,0.0,26.0,female,white,yes,no,education,no
20.32,13.0,6.0,22.0,female,white,no,no,services,no
26.86,18.0,1.0,27.0,female,white,yes,yes,services,no
16.31,12.0,13.0,36.0,female,white,yes,no,services,yes
22.99,14.0,8.0,28.0,female,white,no,no,manufacturing,no
19.05,17.0,2.0,21.0,female,white,yes,no,services,no
11.27,12.0,14.0,30.0,male,white,yes,no,manufacturing,yes
15.33,13.0,8.0,24.0,female,hispanic,no,no,government,no
18.08,15.0,28.0,50.0,female,white,yes,yes,healthcare,no
23.98,15.0,31.0,51.0,male,white,yes,no,healthcare,no
16.9,17.0,4.0,34.0,male,hispanic,no,no,services,no
17.65,17.0,26.0,49.0,female,hispanic,yes,no,government,no
28.85,14.0,9.0,32.0,male,white,yes,no,healthcare,no
22.99,18.0,9.0,34.0,female,white,no,no,healthcare,no
17.15,11.0,11.0,28.0,male,white,no,no,services,no
12.65,15.0,10.0,31.0,female,hispanic,no,no,healthcare,no
12.14,14.0,5.0,26.0,male,black,no,no,healthcare,yes
16.97,15.0,22.0,42.0,female,black,no,no,education,no
13.71,16.0,2.0,26.0,female,hispanic,yes,no,manufacturing,no
21.62,14.0,16.0,33.0,male,white,yes,no,government,no
10.0,14.0,7.0,20.0,female,other,no,no,government,yes
17.26,15.0,23.0,47.0,female,white,yes,no,manufacturing,no
16.3,13.0,18.0,38.0,female,black,yes,no,healthcare,yes
17.5,15.0,5.0,26.0,male,white,yes,no,manufacturing,no
18.87,15.0,0.0,18.0,male,hispanic,yes,no,healthcare,no
17.43,15.0,0.0,21.0,male,white,yes,no,manufacturing,no
25.78,13.0,24.0,48.0,male,white,yes,no,services,no
20.02,13.0,15.0,31.0,female,white,yes,no,services,no
12.73,14.0,15.0,32.0,male,black,yes,no,services,no
28.11,18.0,22.0,51.0,male,white,no,no,services,yes
23.19,14.0,9.0,24.0,male,asian,yes,no,manufacturing,no
20.79,15.0,22.0,38.0,female,white,no,no,healthcare,no
28.97,20.0,11.0,36.0,male,white,yes,no,services,no
21.91,16.0,24.0,46.0,female,hispanic,no,no,manufacturing,yes
20.59,13.0,8.0,25.0,female,white,no,no,healthcare,no
25.91,14.0,24.0,40.0,female,white,no,no,government,no
34.3,16.0,12.0,27.0,male,white,yes,no,manufacturing,yes
18.12,14.0,2.0,24.0,male,hispanic,no,no,services,yes
25.62,19.0,17.0,39.0,male,white,no,no,services,no
19.34,16.0,24.0,39.0,female,white,yes,no,services,yes
20.43,18.0,27.0,55.0,female,white,yes,no,healthcare,no
13.31,15.0,20.0,33.0,male,black,yes,no,education,no
10.0,8.0,22.0,31.0,female,white,no,no,manufacturing,no
10.0,12.0,4.0,28.0,female,white,no,no,manufacturing,no
21.47,14.0,11.0,28.0,female,white,no,no,manufacturing,yes
26.32,20.0,21.0,44.0,male,asian,yes,no,education,no
21.21,16.0,2.0,23.0,female,white,no,no,services,no
24.21,19.0,18.0,38.0,female,white,no,no,services,no
17.82,15.0,11.0,30.0,male,white,no,no,healthcare,yes
15.87,15.0,9.0,30.0,female,asian,no,no,education,yes
14.46,16.0,10.0,33.0,male,other,no,no,services,no
14.98,15.0,6.0,25.0,male,asian,yes,no,government,no
11.94,12.0,9.0,27.0,male,hispanic,no,no,services,no
15.77,18.0,26.0,50.0,male,black,no,no,manufacturing,no
10.0,11.0,12.0,30.0,female,black,yes,no,services,no
17.65,12.0,13.0,30.0,male,white,yes,no,education,no
26.11,20.0,10.0,33.0,female,hispanic,no,no,services,no
21.67,15.0,0.0,21.0,female,black,yes,yes,services,no
17.2,16.0,12.0,38.0,female,asian,yes,no,services,no
16.61,13.0,17.0,36.0,female,white,yes,no,healthcare,no
20.55,12.0,11.0,27.0,female,black,no,no,healthcare,no
11.63,13.0,17.0,36.0,male,white,yes,no,government,no
24.49,17.0,17.0,48.0,male,white,no,no,education,no
29.4,14.0,19.0,40.0,male,other,no,yes,manufacturing,no
25.74,18.0,24.0,50.0,male,white,no,no,education,no
17.68,17.0,17.0,38.0,female,asian,yes,no,services,yes
19.05,13.0,19.0,35.0,female,white,yes,no,education,yes
25.44,16.0,12.0,32.0,female,asian,no,no,services,yes
17.02,14.0,24.0,42.0,female,white,no,no,services,no
22.22,14.0,17.0,41.0,male,white,yes,yes,manufacturing,no
18.28,18.0,7.0,32.0,female,asian,yes,no,services,yes
12.16,12.0,26.0,47.0,male,hispanic,no,no,education,yes
23.47,8.0,14.0,27.0,female,white,yes,no,services,no
16.25,16.0,7.0,38.0,female,white,no,no,services,no
23.51,15.0,9.0,33.0,male,asian,no,no,education,no
10.0,13.0,8.0,20.0,female,black,yes,no,healthcare,no
15.79,13.0,18.0,33.0,male,black,yes,no,manufacturing,no
23.57,17.0,11.0,40.0,male,white,no,no,education,no
16.62,17.0,0.0,19.0,female,white,no,no,healthcare,no
33.4,13.0,10.0,29.0,female,white,yes,no,services,yes
10.39,13.0,19.0,44.0,male,asian,no,no,healthcare,no
23.26,18.0,18.0,39.0,male,black,no,no,education,no
25.19,16.0,14.0,31.0,female,white,yes,no,healthcare,no
13.47,14.0,6.0,27.0,male,asian,yes,yes,services,yes
21.65,17.0,17.0,41.0,female,black,yes,no,education,no
18.38,14.0,8.0,27.0,male,other,no,no,services,no
10.0,13.0,18.0,35.0,male,other,no,no,healthcare,no
27.22,17.0,14.0,39.0,female,white,no,no,manufacturing,no
29.29,15.0,1.0,18.0,female,black,no,no,services,no
17.54,11.0,8.0,18.0,male,asian,no,no,manufacturing,no
10.0,11.0,17.0,32.0,female,white,yes,no,healthcare,no
18.69,16.0,7.0,30.0,female,white,yes,no,services,no
17.81,11.0,9.0,24.0,male,white,yes,no,services,no
20.47,17.0,2.0,18.0,female,white,no,no,services,no
23.37,17.0,0.0,22.0,female,white,yes,no,healthcare,no
22.72,16.0,10.0,39.0,male,white,no,no,services,no
19.69,14.0,7.0,26.0,female,white,yes,no,education,yes
13.9,15.0,3.0,25.0,female,black,no,no,services,no
13.46,9.0,14.0,23.0,male,white,no,no,manufacturing,yes
28.19,14.0,6.0,26.0,female,white,yes,no,education,no
20.02,15.0,16.0,34.0,male,hispanic,no,yes,manufacturing,no
30.84,19.0,20.0,47.0,female,white,no,no,services,yes
23.22,18.0,11.0,36.0,male,white,yes,no,services,no
15.64,14.0,15.0,37.0,male,white,no,no,services,no
31.85,17.0,11.0,35.0,male,hispanic,no,no,manufacturing,yes
26.13,16.0,33.0,59.0,male,white,yes,no,manufacturing,no
11.68,16.0,8.0,25.0,female,white,yes,yes,services,no
12.34,12.0,13.0,27.0,female,white,no,no,healthcare,no
13.66,14.0,24.0,37.0,female,white,no,no,healthcare,no
35.27,19.0,26.0,50.0,female,black,no,no,services,no
14.6,14.0,20.0,45.0,female,white,no,yes,manufacturing,no
19.82,14.0,9.0,18.0,male,white,no,no,government,no
12.34,13.0,0.0,21.0,male,other,no,yes,education,no
27.92,14.0,25.0,44.0,female,white,yes,no,healthcare,yes
22.62,15.0,21.0,43.0,male,asian,yes,no,services,no
22.91,16.0,11.0,37.0,female,black,no,no,services,no
18.9,12.0,27.0,47.0,female,asian,no,no,services,no
12.75,11.0,11.0,25.0,female,black,no,no,healthcare,no
24.3,18.0,26.0,49.0,male,asian,yes,no,services,no
13.4,11.0,28.0,41.0,male,white,no,no,manufacturing,yes
12.5,11.0,16.0,35.0,male,white,yes,no,manufacturing,no
25.67,18.0,21.0,41.0,male,asian,yes,no,services,no
23.98,12.0,21.0,39.0,female,asian,no,no,education,no
25.01,16.0,0.0,20.0,female,black,yes,yes,healthcare,yes
23.56,16.0,18.0,39.0,female,white,yes,no,manufacturing,no
18.87,16.0,14.0,43.0,male,white,yes,no,manufacturing,no
23.74,20.0,20.0,48.0,male,white,yes,no,education,no
22.05,21.0,9.0,37.0,female,hispanic,no,yes,services,no
24.76,18.0,14.0,39.0,female,other,no,no,manufacturing,no
12.75,12.0,17.0,27.0,male,white,yes,no,manufacturing,no
25.52,17.0,11.0,29.0,female,hispanic,yes,no,education,no
20.35,11.0,23.0,39.0,female,asian,no,no,manufacturing,no
15.08,14.0,14.0,33.0,male,white,yes,no,manufacturing,no
23.7,13.0,22.0,37.0,male,asian,no,no,manufacturing,yes
27.95,20.0,16.0,41.0,male,black,no,no,healthcare,no
18.81,11.0,10.0,33.0,female,white,no,no,healthcare,no
10.0,12.0,20.0,34.0,female,hispanic,no,no,services,no
13.41,12.0,12.0,27.0,female,white,yes,no,services,no
15.48,13.0,4.0,24.0,male,other,no,no,education,no
26.98,18.0,6.0,27.0,female,white,no,no,services,no
13.84,16.0,20.0,35.0,female,other,yes,no,education,no
23.15,16.0,13.0,28.0,female,white,yes,no,services,yes
13.71,14.0,0.0,23.0,male,white,yes,no,services,yes
18.9,14.0,19.0,34.0,female,black,no,no,services,no
25.3,16.0,32.0,59.0,male,black,no,no,education,yes
11.38,11.0,16.0,36.0,female,white,yes,yes,healthcare,no
22.93,11.0,15.0,25.0,female,hispanic,no,yes,manufacturing,no
18.13,22.0,8.0,42.0,female,white,no,no,services,no
17.92,14.0,2.0,25.0,male,white,no,no,government,no
15.93,13.0,1.0,20.0,male,black,yes,no,education,no
25.33,17.0,12.0,36.0,male,white,no,no,manufacturing,no
10.29,14.0,14.0,41.0,male,hispanic,no,no,manufacturing,no
14.14,15.0,14.0,34.0,male,black,yes,yes,manufacturing,no
10.0,14.0,12.0,33.0,male,hispanic,yes,no,manufacturing,no
23.42,17.0,4.0,32.0,male,black,no,no,manufacturing,yes
14.54,14.0,23.0,44.0,female,white,yes,no,services,no
19.03,17.0,19.0,35.0,male,white,no,yes,services,no
27.63,15.0,18.0,37.0,male,white,no,no,manufacturing,no
16.97,13.0,16.0,36.0,male,asian,no,no,government,no
18.84,12.0,12.0,29.0,female,white,no,no,manufacturing,no
22.39,14.0,34.0,53.0,male,hispanic,yes,no,services,no
16.03,11.0,3.0,18.0,female,white,no,yes,services,no
11.47,13.0,18.0,27.0,male,white,yes,no,government,no
19.0,10.0,20.0,40.0,female,white,no,yes,healthcare,no
27.6,13.0,15.0,38.0,male,hispanic,yes,no,healthcare,no
14.5,16.0,19.0,37.0,male,white,yes,no,manufacturing,no
10.0,12.0,16.0,32.0,female,other,yes,no,manufacturing,no
31.66,17.0,29.0,56.0,male,white,no,no,services,yes
26.02,14.0,6.0,35.0,female,hispanic,yes,yes,services,no
10.64,16.0,0.0,26.0,female,black,no,no,healthcare,yes
22.18,15.0,6.0,25.0,male,black,no,no,services,no
23.16,18.0,7.0,27.0,male,black,no,no,manufacturing,no
14.56,17.0,10.0,39.0,male,white,yes,yes,government,yes
24.38,17.0,16.0,43.0,male,black,no,no,manufacturing,no
18.19,12.0,31.0,46.0,male,black,no,no,education,no
15.99,13.0,28.0,44.0,female,black,no,no,healthcare,no
12.9,12.0,9.0,40.0,female,black,no,no,education,no
13.15,15.0,16.0,39.0,female,asian,no,no,services,no
18.62,14.0,6.0,31.0,female,white,no,no,education,yes
19.9,17.0,1.0,23.0,male,white,yes,no,services,no
30.51,18.0,12.0,32.0,male,black,no,no,government,no
19.62,18.0,11.0,33.0,male,other,yes,no,manufacturing,no
13.11,12.0,22.0,44.0,female,white,no,no,manufacturing,no
18.29,12.0,0.0,18.0,female,white,no,no,manufacturing,no
16.56,12.0,14.0,33.0,female,white,no,no,education,yes
25.81,17.0,3.0,30.0,female,black,no,no,services,no
30.27,18.0,15.0,47.0,female,white,yes,no,education,no
19.09,13.0,28.0,46.0,male,black,yes,no,services,no
18.64,14.0,13.0,35.0,male,white,no,no,services,no
31.05,19.0,13.0,48.0,female,hispanic,no,no,education,no
24.11,14.0,15.0,39.0,female,white,no,no,government,yes
17.81,16.0,19.0,37.0,male,white,yes,no,education,no
21.3,17.0,13.0,36.0,female,white,yes,no,services,no
25.19,14.0,16.0,30.0,female,white,no,no,healthcare,yes
12.67,13.0,3.0,23.0,male,other,no,no,education,yes
24.72,17.0,12.0,39.0,male,asian,yes,no,healthcare,yes
14.78,14.0,13.0,33.0,female,hispanic,no,no,services,yes
24.69,13.0,14.0,38.0,female,asian,no,no,education,no
28.39,12.0,30.0,47.0,female,hispanic,yes,no,services,no
19.36,16.0,19.0,37.0,female,white,no,no,services,no
12.7,10.0,15.0,30.0,male,black,yes,no,healthcare,yes
26.2,16.0,8.0,28.0,female,white,no,no,manufacturing,no
18.89,13.0,7.0,26.0,male,white,yes,no,manufacturing,no
18.53,13.0,11.0,32.0,male,white,yes,yes,services,no
15.78,13.0,18.0,39.0,female,white,no,no,education,no
21.62,16.0,20.0,47.0,male,white,no,no,healthcare,no
12.07,13.0,4.0,26.0,male,white,no,yes,services,no
20.44,13.0,15.0,34.0,female,white,yes,no,services,no
15.74,14.0,6.0,30.0,female,white,no,no,services,no
21.27,12.0,31.0,50.0,female,hispanic,no,no,education,yes
15.13,9.0,16.0,38.0,male,white,yes,no,manufacturing,no
18.28,17.0,22.0,47.0,female,white,no,no,services,yes
21.88,16.0,5.0,26.0,female,white,no,yes,services,no
13.76,11.0,4.0,27.0,male,hispanic,no,no,education,no
28.87,17.0,10.0,34.0,male,asian,no,no,manufacturing,no
12.96,13.0,24.0,45.0,male,hispanic,yes,no,services,no
31.36,19.0,12.0,37.0,male,hispanic,yes,no,healthcare,yes
28.58,16.0,16.0,36.0,female,hispanic,yes,no,government,no
13.86,11.0,9.0,27.0,male,hispanic,yes,no,healthcare,yes
26.49,15.0,18.0,44.0,male,white,yes,no,education,no
22.62,13.0,18.0,33.0,male,white,yes,no,healthcare,no
14.52,16.0,7.0,30.0,male,white,yes,no,healthcare,no
26.95,17.0,33.0,60.0,female,asian,no,no,government,no
28.56,17.0,0.0,22.0,female,hispanic,yes,yes,government,no
18.36,13.0,30.0,51.0,female,white,yes,no,services,no
24.09,17.0,4.0,25.0,female,white,yes,no,manufacturing,no
17.67,14.0,15.0,34.0,female,asian,yes,no,services,no
11.96,13.0,20.0,42.0,male,white,yes,yes,healthcare,no
18.32,11.0,15.0,30.0,female,white,yes,no,services,no
14.05,10.0,21.0,32.0,female,white,no,no,manufacturing,no
27.05,16.0,9.0,34.0,male,white,yes,no,government,no
14.75,18.0,10.0,34.0,male,black,yes,no,healthcare,yes
10.0,8.0,29.0,44.0,male,white,yes,no,government,no
14.41,13.0,0.0,18.0,female,white,no,no,services,yes
25.12,18.0,27.0,51.0,female,black,yes,no,services,no
17.0,15.0,3.0,22.0,female,asian,no,no,education,no
20.58,13.0,15.0,38.0,male,white,no,no,manufacturing,yes
28.43,14.0,16.0,33.0,male,white,no,no,healthcare,no
22.55,15.0,28.0,54.0,female,white,yes,no,manufacturing,no
27.02,17.0,19.0,43.0,female,white,no,no,services,no
30.96,17.0,16.0,39.0,male,white,yes,no,services,no
13.02,16.0,27.0,41.0,male,hispanic,no,no,manufacturing,no
10.0,12.0,2.0,18.0,male,white,no,no,services,yes
16.67,14.0,0.0,24.0,male,white,no,no,healthcare,no
15.42,14.0,10.0,33.0,male,white,no,no,manufacturing,no
19.11,14.0,22.0,46.0,male,hispanic,no,no,manufacturing,no
21.51,14.0,20.0,38.0,male,white,yes,no,government,no
24.21,14.0,17.0,29.0,female,white,no,no,services,no
20.89,14.0,9.0,29.0,male,white,yes,no,healthcare,no
21.87,20.0,31.0,58.0,male,white,yes,no,services,no
26.28,15.0,0.0,19.0,female,asian,no,no,services,no
10.0,11.0,15.0,32.0,female,white,no,no,healthcare,no
19.7,11.0,0.0,18.0,male,asian,yes,no,manufacturing,no
17.4,16.0,0.0,26.0,female,white,no,no,manufacturing,no
25.49,17.0,10.0,31.0,male,other,yes,no,manufacturing,yes
22.77,17.0,5.0,29.0,male,white,yes,no,manufacturing,no
25.32,17.0,6.0,26.0,male,white,yes,no,services,no
31.51,19.0,13.0,40.0,female,white,no,no,healthcare,no
15.43,16.0,2.0,27.0,male,white,no,yes,services,no
21.56,12.0,6.0,34.0,male,hispanic,yes,no,manufacturing,yes
34.77,14.0,22.0,40.0,male,white,yes,no,government,no
15.22,14.0,24.0,52.0,male,white,yes,no,government,no
20.99,13.0,6.0,23.0,female,asian,no,no,manufacturing,yes
16.04,15.0,13.0,33.0,male,asian,no,no,services,no
28.27,19.0,18.0,48.0,male,black,no,no,education,no
28.38,16.0,9.0,27.0,male,white,yes,no,education,no
13.47,15.0,14.0,39.0,female,white,no,no,healthcare,yes
21.63,15.0,21.0,42.0,male,white,yes,no,manufacturing,no
19.12,17.0,28.0,51.0,female,hispanic,yes,yes,services,yes
30.36,19.0,13.0,37.0,male,white,no,no,manufacturing,no
30.7,19.0,4.0,27.0,female,black,yes,no,manufacturing,yes
15.36,16.0,13.0,39.0,male,white,yes,no,manufacturing,no
34.68,17.0,13.0,35.0,female,black,no,no,manufacturing,no
10.0,14.0,16.0,39.0,female,white,no,no,manufacturing,no
19.47,13.0,24.0,39.0,female,white,yes,yes,healthcare,no
14.41,12.0,12.0,32.0,male,other,no,no,manufacturing,no
21.27,14.0,14.0,34.0,female,white,no,no,services,yes
29.58,16.0,3.0,20.0,female,white,yes,no,services,no
18.11,13.0,6.0,27.0,female,hispanic,yes,no,government,no
24.39,15.0,17.0,43.0,female,white,yes,no,manufacturing,no
24.28,16.0,18.0,43.0,male,white,no,no,healthcare,no
25.82,15.0,8.0,22.0,female,black,yes,no,manufacturing,no
25.17,14.0,28.0,45.0,male,black,no,no,services,yes
17.8,15.0,16.0,34.0,female,white,no,no,healthcare,no
23.37,20.0,20.0,49.0,male,black,no,no,services,no
11.58,13.0,3.0,18.0,male,hispanic,no,no,healthcare,yes
